excel_row,source_code,permalink
87,2000-S311-35,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0003?accountid=10598
88,2000-S311-36,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0004?accountid=10598
89,2000-S311-38,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0006?accountid=10598
90,2000-S311-39,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0007?accountid=10598
91,2000-S311-4,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0067?accountid=10598
92,2000-S311-40,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0007?accountid=10598
93,2000-S311-41,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0008?accountid=10598
94,2000-S311-42,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0009?accountid=10598
95,2000-S311-44,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0011?accountid=10598
96,2000-S311-45,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0012?accountid=10598
97,2000-S311-46,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0013?accountid=10598
98,2000-S311-47,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0014?accountid=10598
99,2000-S311-48,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0015?accountid=10598
100,2000-S311-5,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0068?accountid=10598
101,2000-S311-51,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0018?accountid=10598
102,2000-S311-52,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0019?accountid=10598
103,2000-S311-53,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0020?accountid=10598
104,2000-S311-55,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0022?accountid=10598
105,2000-S311-57,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0023?accountid=10598
106,2000-S311-59,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0025?accountid=10598
107,2000-S311-62,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0028?accountid=10598
108,2000-S311-63,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0029?accountid=10598
109,2000-S311-64,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0030?accountid=10598
110,2000-S311-65,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0031?accountid=10598
